Location ID: 44
Location Name: TRUNG_NGUYÊN_E-COFFEE_24_VÕ_VĂN_KIỆT
Data LLM:
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "spacious, airy, delicious",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "spacious, airy, delicious",
    "danh_sach_tu_xau": "",
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "spacious, airy, delicious",
    "danh_sach_tu_xau": "",
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "spacious, airy, delicious",
    "danh_sach_tu_xau": "",
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "spacious, airy, delicious",
    "danh_sach_tu_xau": "",
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "cool, enthusiastic, delicious, reasonable price",
    "danh_sach_tu_xau": "expensive",
    "percentage_tot": 80.0,
    "percentage_xau": 20.0
} {
    "danh_sach_tu_tot": "cool, enthusiastic, delicious, reasonable price",
    "danh_sach_tu_xau": "expensive",
    "percentage_tot": 80.0,
    "percentage_xau": 20.0
} {
    "danh_sach_tu_tot": "cool, enthusiastic, delicious, reasonable price",
    "danh_sach_tu_xau": "expensive",
    "percentage_tot": 80.0,
    "percentage_xau": 20.0
} {
    "danh_sach_tu_tot": "cool, enthusiastic, delicious, reasonable price",
    "danh_sach_tu_xau": "expensive",
    "percentage_tot": 80.0,
    "percentage_xau": 20.0
} {
    "danh_sach_tu_tot": "cool, enthusiastic, delicious, reasonable price",
    "danh_sach_tu_xau": "expensive",
    "percentage_tot": 80.0,
    "percentage_xau": 20.0
} {
    "danh_sach_tu_tot": "cool, enthusiastic, delicious, reasonable price",
    "danh_sach_tu_xau": "expensive",
    "percentage_tot": 80.0,
    "percentage_xau": 20.0
} {
    "danh_sach_tu_tot": "cool, enthusiastic, delicious, reasonable price",
    "danh_sach_tu_xau": "expensive",
    "percentage_tot": 80.0,
    "percentage_xau": 20.0
} {
    "danh_sach_tu_tot": "Delicious, suits your taste, quietly",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "Delicious, suits your taste, quietly",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "Delicious, suits your taste, quietly",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "Delicious, suits your taste, quietly",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "Delicious, suits your taste, quietly",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "Delicious, suits your taste, quietly",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "Delicious, suits your taste, quietly",
    "danh_sach_tu_xau": "",
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "Delicious, comfortable",
    "danh_sach_tu_xau": "",
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "Delicious, comfortable",
    "danh_sach_tu_xau": "",
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "Delicious, comfortable",
    "danh_sach_tu_xau": "",
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "Delicious, comfortable",
    "danh_sach_tu_xau": "",
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "Delicious, comfortable",
    "danh_sach_tu_xau": "",
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "Delicious, comfortable",
    "danh_sach_tu_xau": "",
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "Delicious, comfortable",
    "danh_sach_tu_xau": "",
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "airy, Affordable price, Polite staff",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "airy, Affordable price, Polite staff",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "airy, affordable price, polite staff",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "airy, Affordable price, Polite staff",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "airy, affordable price, polite staff",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "airy, affordable price, polite staff",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "airy, Affordable price, Polite staff",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "great, delicious, artistic, attentive, friendly, Satisfied",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "great, delicious, artistic, attentive, friendly, Satisfied",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "great, delicious, artistic, attentive, friendly, Satisfied",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "great, delicious, artistic, attentive, friendly, Satisfied",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "great, delicious, artistic, attentive, friendly, Satisfied",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "great, delicious, artistic, attentive, friendly, Satisfied",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "great, delicious, artistic, attentive, friendly, Satisfied",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "Delicious, beautiful",
    "danh_sach_tu_xau": "need to be built a little more carefully, needs improvement",
    "percentage_tot": 50.0,
    "percentage_xau": 50.0
} {
    "danh_sach_tu_tot": "Delicious, beautiful",
    "danh_sach_tu_xau": "need to be built a little more carefully, needs improvement",
    "percentage_tot": 50.0,
    "percentage_xau": 50.0
} {
    "danh_sach_tu_tot": "Delicious, beautiful",
    "danh_sach_tu_xau": "need to be built a little more carefully, needs improvement",
    "percentage_tot": 50.0,
    "percentage_xau": 50.0
} {
    "danh_sach_tu_tot": "Delicious, beautiful",
    "danh_sach_tu_xau": "need to be built a little more carefully, needs improvement",
    "percentage_tot": 50.0,
    "percentage_xau": 50.0
} {
    "danh_sach_tu_tot": "Delicious, beautiful",
    "danh_sach_tu_xau": "need to be built a little more carefully, needs improvement",
    "percentage_tot": 50.0,
    "percentage_xau": 50.0
} {
    "danh_sach_tu_tot": "Delicious, beautiful",
    "danh_sach_tu_xau": "need to be built a little more carefully, needs improvement",
    "percentage_tot": 50.0,
    "percentage_xau": 50.0
} {
    "danh_sach_tu_tot": "Delicious, beautiful",
    "danh_sach_tu_xau": "need to be built a little more carefully, needs improvement",
    "percentage_tot": 50.0,
    "percentage_xau": 50.0
}
